position,year,title
1,1994,"The Shawshank Redemption"
2,1972,"The Godfather"
3,1974,"The Godfather: Part II"
4,1994,"Pulp Fiction"
5,1966,"The Good, the Bad and the Ugly"
6,2008,"The Dark Knight"
7,1957,"12 Angry Men"
8,1993,"Schindler's List"
9,2003,"The Lord of the Rings: The Return of the King"
10,1999,"Fight Club"
11,1980,"Star Wars: Episode V - The Empire Strikes Back"
12,2001,"The Lord of the Rings: The Fellowship of the Ring"
13,1975,"One Flew Over the Cuckoo's Nest"
14,1990,"Goodfellas"
15,2010,"Inception"
16,1954,"Seven Samurai"
17,1977,"Star Wars: Episode IV - A New Hope"
18,1994,"Forrest Gump"
19,1999,"The Matrix"
20,2002,"The Lord of the Rings: The Two Towers"
21,2002,"City of God"
22,1995,"Se7en"
23,1968,"Once Upon a Time in the West"
24,1991,"The Silence of the Lambs"
25,1995,"The Usual Suspects"
26,1942,"Casablanca"
27,1946,"It's a Wonderful Life"
28,1981,"Raiders of the Lost Ark"
29,1954,"Rear Window"
30,1960,"Psycho"
31,1994,"Léon: The Professional"
32,1950,"Sunset Blvd."
33,1998,"American History X"
34,1998,"Saving Private Ryan"
35,2000,"Memento"
36,1991,"Terminator 2: Judgment Day"
37,1931,"City Lights"
38,1979,"Apocalypse Now"
39,2001,"Spirited Away"
40,1964,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
41,1936,"Modern Times"
42,1979,"Alien"
43,1997,"Life Is Beautiful"
44,1985,"Back to the Future"
45,2002,"Pianisten"
46,1959,"North by Northwest"
47,1980,"The Shining"
48,1941,"Citizen Kane"
49,2006,"The Departed"
50,1931,"M"
51,1957,"Paths of Glory"
52,2011,"The Intouchables"
53,1999,"The Green Mile"
54,2000,"Gladiator"
55,2012,"The Dark Knight Rises"
56,2012,"Django Unchained"
57,1999,"American Beauty"
58,1958,"Vertigo"
59,1986,"Aliens"
60,2006,"The Lives of Others"
61,1944,"Double Indemnity"
62,1976,"Taxi Driver"
63,2008,"WALL·E"
64,2013,"Gravity"
65,1940,"The Great Dictator"
66,2010,"Toy Story 3"
67,2006,"The Prestige"
68,2001,"Amélie"
69,1971,"A Clockwork Orange"
70,1962,"Lawrence of Arabia"
71,1962,"To Kill a Mockingbird"
72,1988,"Cinema Paradiso"
73,1992,"Reservoir Dogs"
74,1981,"Das Boot"
75,1994,"The Lion King"
76,1948,"The Treasure of the Sierra Madre"
77,2000,"Requiem for a Dream"
78,1984,"Ondt blod i Amerika"
79,1983,"Star Wars: Episode VI - Return of the Jedi"
80,1995,"Braveheart"
81,2003,"Oldboy"
82,2004,"Eternal Sunshine of the Spotless Mind"
83,1949,"The Third Man"
84,1987,"Full Metal Jacket"
85,1997,"L.A. Confidential"
86,1952,"Singin' in the Rain"
87,1997,"Princess Mononoke"
88,1948,"Bicycle Thieves"
89,1927,"Metropolis"
90,1950,"Rashomon"
91,1950,"All About Eve"
92,1957,"Witness for the Prosecution"
93,1988,"Grave of the Fireflies"
94,1959,"Some Like It Hot"
95,1984,"Amadeus"
96,1973,"The Sting"
97,1974,"Chinatown"
98,1975,"Monty Python and the Holy Grail"
99,1960,"The Apartment"
100,1968,"2001: A Space Odyssey"
101,1992,"Unforgiven"
102,1989,"Indiana Jones and the Last Crusade"
103,1980,"Raging Bull"
104,1961,"Yojimbo"
105,1988,"Die Hard"
106,2011,"Nader og Simin - et brudd"
107,1957,"The Bridge on the River Kwai"
108,2005,"Batman Begins"
109,2000,"Snatch."
110,1965,"For a Few Dollars More"
111,2009,"Inglourious Basterds"
112,1939,"Mr. Smith Goes to Washington"
113,1995,"Toy Story"
114,1954,"On the Waterfront"
115,2006,"Pans labyrint"
116,1963,"The Great Escape"
117,2004,"Downfall"
118,1921,"The Kid"
119,2009,"Up"
120,1952,"Ikiru"
121,1995,"Heat"
122,1926,"The General"
123,1957,"The Seventh Seal"
124,1983,"Scarface"
125,1980,"The Elephant Man"
126,1982,"Blade Runner"
127,1957,"Wild Strawberries"
128,1941,"The Maltese Falcon"
129,1940,"Rebecca"
130,1985,"Ran"
131,2008,"Gran Torino"
132,1996,"Fargo"
133,1998,"The Big Lebowski"
134,1925,"The Gold Rush"
135,2012,"The Hunt"
136,1934,"It Happened One Night"
137,1978,"The Deer Hunter"
138,1967,"Cool Hand Luke"
139,1958,"Touch of Evil"
140,1955,"Diabolique"
141,1998,"Lock, Stock and Two Smoking Barrels"
142,1997,"Good Will Hunting"
143,1961,"Judgment at Nuremberg"
144,1995,"Casino"
145,1999,"The Sixth Sense"
146,2007,"No Country for Old Men"
147,1969,"Butch Cassidy and the Sundance Kid"
148,1939,"Gone with the Wind"
149,1996,"Trainspotting"
150,1986,"Platoon"
151,2003,"Kill Bill: Vol. 1"
152,2005,"Sin City"
153,1988,"My Neighbor Totoro"
154,1982,"The Thing"
155,2009,"The Secret in Their Eyes"
156,1940,"The Grapes of Wrath"
157,2004,"Hotel Rwanda"
158,1939,"The Wizard of Oz"
159,1975,"Jaws"
160,1977,"Annie Hall"
161,2011,"Warrior"
162,1951,"Strangers on a Train"
163,2005,"V for Vendetta"
164,2003,"Finding Nemo"
165,1952,"High Noon"
166,2007,"Into the Wild"
167,1954,"Dial M for Murder"
168,2010,"How to Train Your Dragon"
169,2013,"Rush"
170,1979,"Life of Brian"
171,1946,"The Best Years of Our Lives"
172,2012,"The Avengers"
173,1976,"Network"
174,1946,"Notorious"
175,2004,"Million Dollar Baby"
176,2007,"There Will Be Blood"
177,1959,"Ben-Hur"
178,1986,"Stand by Me"
179,1984,"Terminator"
180,1959,"The 400 Blows"
181,2004,"Howl's Moving Castle"
182,2010,"The King's Speech"
183,2000,"Amores Perros"
184,1995,"Twelve Monkeys"
185,2009,"Mary og Max"
186,1993,"Groundhog Day"
187,1946,"The Big Sleep"
188,1955,"The Night of the Hunter"
189,2001,"A Beautiful Mind"
190,2001,"Donnie Darko"
191,1982,"Gandhi"
192,2007,"The Bourne Ultimatum"
193,1975,"Dog Day Afternoon"
194,1966,"Persona"
195,1987,"The Princess Bride"
196,1967,"The Graduate"
197,1956,"The Killing"
198,1961,"The Hustler"
199,1982,"Fanny and Alexander"
200,1966,"Who's Afraid of Virginia Woolf?"
201,1993,"I fars navn"
202,2010,"Black Swan"
203,1954,"La Strada"
204,1976,"Rocky"
205,1963,"8½"
206,1962,"The Man Who Shot Liberty Valance"
207,2009,"3 Idiots"
208,2002,"Infernal Affairs"
209,2013,"Before Midnight"
210,1959,"Anatomy of a Murder"
211,1973,"The Exorcist"
212,2008,"Slumdog Millionaire"
213,1953,"Stalag 17"
214,1975,"Barry Lyndon"
215,2001,"Monsters, Inc."
216,1962,"The Manchurian Candidate"
217,1948,"Rope"
218,2003,"Memories of Murder"
219,1953,"Roman Holiday"
220,2013,"The Hunger Games: Catching Fire"
221,1998,"The Truman Show"
222,2007,"Like Stars on Earth"
223,2010,"Nawals hemmelighet - Incendies"
224,2003,"Pirates of the Caribbean: The Curse of the Black Pearl"
225,2006,"Rang De Basanti"
226,2012,"Life of Pi"
227,1969,"The Wild Bunch"
228,1964,"For en neve dollar"
229,1993,"Jurassic Park"
230,2011,"Harry Potter and the Deathly Hallows: Part 2"
231,1984,"Nausicaä of the Valley of the Wind"
232,2008,"Ip Man"
233,2007,"The Diving Bell and the Butterfly"
